id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan,satuan,tahun
241,32,JAWA BARAT,3277,KOTA CIMAHI,318871,RUPIAH/KAPITA/BULAN,2012
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,317037,RUPIAH/KAPITA/BULAN,2012
243,32,JAWA BARAT,3279,KOTA BANJAR,234687,RUPIAH/KAPITA/BULAN,2012
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,271970,RUPIAH/KAPITA/BULAN,2013
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,240188,RUPIAH/KAPITA/BULAN,2013
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,264580,RUPIAH/KAPITA/BULAN,2013
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,256733,RUPIAH/KAPITA/BULAN,2013
248,32,JAWA BARAT,3205,KABUPATEN GARUT,226308,RUPIAH/KAPITA/BULAN,2013
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,237114,RUPIAH/KAPITA/BULAN,2013
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,270515,RUPIAH/KAPITA/BULAN,2013
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,261858,RUPIAH/KAPITA/BULAN,2013
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,300990,RUPIAH/KAPITA/BULAN,2013
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,353727,RUPIAH/KAPITA/BULAN,2013
